@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
780,1277,1007,1007,0,1,0,1,-1,0
1275,1759,2098,2312,0,1,0,1,-1,0
642,1095,1095,1038,0,1,0,1,-1,0
1540,1653,2482,1984,0,0,0,1,-1,0
568,1021,1021,964,0,1,0,1,-1,0
554,1006,950,950,0,1,1,1,-1,0
421,874,874,817,0,1,0,1,-1,0
574,1027,1027,970,0,0,0,1,-1,0
557,1009,953,953,0,1,1,1,-1,0
393,789,789,732,0,1,0,1,-1,0
575,1028,1028,971,0,1,1,1,-1,0
901,1240,1183,1183,0,1,0,1,-1,0
507,903,846,846,0,1,0,1,-1,0
1506,1789,1733,1733,0,1,0,1,-1,0
611,1064,1007,950,0,1,0,1,-1,0
465,917,861,861,0,1,1,1,-1,0
1224,1563,1507,1507,0,1,0,1,-1,0
523,976,919,862,0,1,0,1,-1,0
796,1248,1192,1192,0,1,1,1,-1,0
656,1109,1109,1052,0,1,1,1,-1,0
499,951,895,895,0,1,1,1,-1,0
763,1215,1159,1159,0,1,1,1,-1,0
953,1368,1311,1311,0,1,0,1,-1,0
631,1083,1027,1027,0,1,1,1,-1,0
1506,1845,1789,1789,0,0,0,1,-1,0
1177,1501,1841,1671,7,0,0,1,-1,0
1653,1936,2105,1879,0,1,0,1,-1,0
556,1009,952,952,0,1,0,1,-1,0
412,864,808,808,0,1,1,1,-1,0
653,1162,1106,1049,0,1,1,1,-1,0
304,813,757,757,0,1,1,1,-1,0
1600,1484,1770,1713,0,0,0,1,-1,0
589,928,1324,1041,2,1,0,1,-1,0
688,1197,1141,1365,0,1,1,1,-1,0
682,1191,1135,1078,0,1,1,0.833333,-1.16667,0
