@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
8312,9615,9100,8944,0,0,0,2.5625,0.5625,0
1158,1745,1437,1688,6,1,0,2.5625,0.5625,1
1505,1602,1674,1674,2,1,0,2.5625,0.5625,1
1797,2163,2106,2106,0,1,0,2.5625,0.5625,0
3845,4128,4319,4128,1,0,0,2.5625,0.5625,0
4625,4316,5008,5401,0,1,0,2.5625,0.5625,0
4170,4035,4396,4541,0,0,0,2.5625,0.5625,0
3998,3072,3805,3292,6,0,0,2.5625,0.5625,1
2998,3163,3280,3280,1,0,0,2.5625,0.5625,0
1780,1865,2232,2230,0,0,0,2.5625,0.5625,0
1520,2082,2082,2041,0,0,0,2.5625,0.5625,0
3757,3977,3797,4244,2,0,0,2.5625,0.5625,0
1896,2323,2179,2228,0,0,0,2.5625,0.5625,0
905,1188,1302,1245,0,1,1,2.5625,0.5625,0
1016,1412,1714,1468,0,1,0,2.5625,0.5625,0
6379,6918,7226,6451,0,0,0,2.35417,0.354167,0
16547,17586,17433,17749,0,0,0,2.35417,0.354167,1
4752,4595,4688,5035,0,0,0,2.35417,0.354167,0
12868,15275,14662,14688,0,0,0,2.35417,0.354167,1
5087,4422,5176,5313,0,1,0,2.35417,0.354167,1
8468,6571,7024,6911,2,0,0,2.35417,0.354167,0
2965,3078,3239,3191,0,0,0,2.35417,0.354167,1
4057,3751,4055,4019,6,0,0,2.35417,0.354167,0
2580,2841,2806,2976,0,0,0,2.35417,0.354167,0
2400,2913,3014,3117,0,1,0,2.35417,0.354167,0
1243,1809,1865,1809,0,1,1,2.35417,0.354167,0
3785,4072,4551,4452,0,1,1,2.35417,0.354167,0
3492,3877,4542,3996,7,0,0,2.35417,0.354167,0
3842,4094,4239,3724,2,1,1,2.35417,0.354167,1
4407,4258,4888,4609,4,1,0,2.35417,0.354167,0
4431,4306,5075,4997,1,1,0,2.35417,0.354167,0
5263,5063,5772,5535,2,1,0,2.64583,0.645833,0
5666,5390,5334,5503,0,0,0,2.64583,0.645833,0
10887,10218,9851,11099,5,1,1,2.64583,0.645833,1
8930,8846,8654,8493,2,0,0,2.64583,0.645833,1
3980,4320,4659,4359,7,0,0,2.64583,0.645833,0
3679,4235,4245,4188,6,1,0,2.64583,0.645833,0
2286,2682,2626,2569,2,1,0,2.64583,0.645833,0
3563,3972,4940,4186,0,1,1,2.64583,0.645833,0
4918,5088,4654,5032,0,1,0,2.64583,0.645833,0
2989,3385,3743,3145,2,0,0,2.64583,0.645833,0
3876,4177,4404,4275,0,0,0,2.64583,0.645833,0
3152,3021,3077,3021,2,1,0,2.64583,0.645833,0
2387,2783,2839,2767,0,1,1,2.64583,0.645833,0
2804,3087,3427,3144,0,0,0,2.64583,0.645833,0
