@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
7687,7925,8139,8415,5,0,0,1.6875,1.6875,1
7737,4792,4920,5120,7,0,0,2.3125,2.3125,1
4830,5396,5312,5548,7,1,0,2.52083,2.52083,1
828,1292,1433,1483,2,1,0,2.75,2.75,1
1515,1798,1741,1741,5,0,0,2.36458,2.36458,1
4369,6042,5833,5833,7,0,0,1.90625,1.90625,1
15140,18668,17872,17663,1,1,1,1.89583,1.89583,1
971,3062,3062,2853,2,1,0,2.54167,2.54167,1
2051,4142,4431,3515,5,0,0,2.5625,2.5625,1
13367,5658,8902,11387,1,1,1,2.64583,2.64583,1
20823,12357,12351,15245,7,0,0,1.95833,1.95833,1
13901,12641,24190,14582,5,0,0,2.17708,2.17708,1
1732,2987,3418,2749,6,1,0,2.35417,2.35417,1
22073,18489,22667,21322,6,1,1,2.33333,2.33333,1
31545,16151,18183,17824,7,1,0,2.30208,2.30208,1
1652,3325,4352,3658,2,0,0,2.28125,2.28125,1
15049,13102,9118,13301,6,0,0,2.375,2.375,1
4583,6738,5686,5339,4,1,0,2.1875,2.1875,1
4167,5136,5421,5006,2,0,0,2.1875,2.1875,1
17589,19270,18229,19819,7,1,1,2.34375,2.34375,1
801,2683,2474,2265,2,0,0,2.33333,2.33333,1
3950,3843,7445,4844,7,1,1,2.27083,2.27083,1
22278,14492,14629,16028,2,1,1,1.34375,1.34375,1
25890,9947,10785,11553,1,1,1,1.97917,1.97917,1
4311,6310,6522,7346,6,0,0,2.14583,2.14583,1
1885,7357,7078,6803,1,0,0,2.25,2.25,1
14331,10731,10935,14662,4,1,1,2.33333,2.33333,1
5588,5916,8109,6813,7,1,1,1.95833,1.95833,1
2607,5083,4282,5293,1,1,1,1.92188,1.92188,1
5634,7557,7281,9780,5,0,0,1.89583,1.89583,1
7178,9763,10739,9873,4,1,0,1.83333,1.83333,1
19780,9951,13176,14464,2,1,1,2.15625,2.15625,1
33796,12591,14227,14330,5,0,0,2.19792,2.19792,1
2698,4656,4649,4380,2,0,0,1.94792,1.94792,1
20232,29865,20936,20304,5,0,0,2.26562,2.26562,1
1361,3564,3840,3564,1,1,1,2.0625,2.0625,1
5492,6320,8562,7537,5,0,0,2.09375,2.09375,1
9146,12306,10158,13412,5,1,1,2.4375,2.4375,1
2908,6184,5662,6929,2,0,0,2.28125,2.28125,1
4842,5542,7596,6672,2,1,1,2.25,2.25,1
2068,8781,8904,10456,0,1,1,1.5,1.5,1
17230,14196,18660,17945,1,1,1,1.625,1.625,1
2317,8584,9281,8584,6,0,0,2.08333,2.08333,1
2584,7893,9286,8589,1,1,1,2.10417,2.10417,1
8957,14081,18791,16766,6,1,0,2.0625,2.0625,1
3574,11789,13409,11544,7,1,0,1.83333,1.83333,0
2795,7773,9280,8470,1,1,1,2,2,1
5912,14169,14498,14459,5,1,1,1.85417,1.85417,1
3775,13058,10443,9747,1,0,0,1.875,1.875,1
12962,17836,17121,13639,2,1,1,1.98958,1.98958,1
17878,19429,21111,19022,6,0,0,1.83333,1.83333,1
2984,8681,10214,7289,7,1,0,1.625,1.625,1
17026,19552,19552,17463,2,0,0,2.26562,2.26562,1
1022,11445,7363,5971,6,0,0,1.71875,1.71875,0
9344,20515,25463,15265,6,1,1,1.69792,1.69792,1
16889,18827,25753,21612,5,1,0,2.02083,2.02083,1
3056,9737,7696,7000,6,1,1,2,2,1
2738,9644,7365,5972,7,1,0,1.86458,1.86458,1
27647,21801,27372,27372,6,1,1,1.15625,1.15625,1
60790,18936,20878,21157,5,1,1,1.47917,1.47917,1
2209,8743,8476,8476,6,0,0,1.91667,1.91667,1
